,,,,Share_name25,Thththh...aaat'ssss ssso cooold themee....,Thththh...aaat'ssss ssso cooold themee....,Thththh...aaat'ssss ssso cooold themee....,Thththh...aaat'ssss ssso cooold themee....,Thththh...aaat'ssss ssso cooold themee....,Thththh...aaat'ssss ssso cooold themee....,Thththh...aaat'ssss ssso cooold themee....,Thththh...aaat'ssss ssso cooold themee....,Thththh...aaat'ssss ssso cooold themee....,Thththh...aaat'ssss ssso cooold themee....,Thththh...aaat'ssss ssso cooold themee....,Thththh...aaat'ssss ssso cooold themee....,Thththh...aaat'ssss ssso cooold themee....,Thththh...aaat'ssss ssso cooold themee....,Thththh...aaat'ssss ssso cooold themee....,,
,,,,Disc_name26,26.Fire Theme,26.Fire Theme,26.Fire Theme,26.Fire Theme,26.Fire Theme,26.Fire Theme,26.Fire Theme,26.Fire Theme,26.Fire Theme,26.Fire Theme,26.Fire Theme,26.Fire Theme,26.Fire Theme,26.Fire Theme,26.Fire Theme,,
,,,,Finish_name26,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,,
,,,,Share_name26,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,Uhh... so hot theme,,
,,,,Disc_name27,27.Exotic Theme,27.Exotic Theme,27.Exotic Theme,27.Exotic Theme,27.Exotic Theme,27.Exotic Theme,27.Exotic Theme,27.Exotic Theme,27.Exotic Theme,27.Exotic Theme,27.Exotic Theme,27.Exotic Theme,27.Exotic Theme,27.Exotic Theme,27.Exotic Theme,,
,,,,Finish_name27,"Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?",,
,,,,Share_name27,"Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?","Unique flora and fauna.\rI like these climates, and you?",,
,,,,Disc_name28,28.Ruby Theme,28.Ruby Theme,28.Ruby Theme,28.Ruby Theme,28.Ruby Theme,28.Ruby Theme,28.Ruby Theme,28.Ruby Theme,28.Ruby Theme,28.Ruby Theme,28.Ruby Theme,28.Ruby Theme,28.Ruby Theme,28.Ruby Theme,28.Ruby Theme,,
,,,,Finish_name28,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,,
,,,,Share_name28,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,,
,,,,Disc_name29,29.Sapphire Theme,29.Sapphire Theme,29.Sapphire Theme,29.Sapphire Theme,29.Sapphire Theme,29.Sapphire Theme,29.Sapphire Theme,29.Sapphire Theme,29.Sapphire Theme,29.Sapphire Theme,29.Sapphire Theme,29.Sapphire Theme,29.Sapphire Theme,29.Sapphire Theme,29.Sapphire Theme,,
,,,,Finish_name29,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,,
,,,,Share_name29,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,,
,,,,Disc_name30,30.Emerald Theme,30.Emerald Theme,30.Emerald Theme,30.Emerald Theme,30.Emerald Theme,30.Emerald Theme,30.Emerald Theme,30.Emerald Theme,30.Emerald Theme,30.Emerald Theme,30.Emerald Theme,30.Emerald Theme,30.Emerald Theme,30.Emerald Theme,30.Emerald Theme,,
,,,,Finish_name30,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,,
,,,,Share_name30,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,Precious and unique theme,,
,,,,Disc_name31,31.Sweet Apple,31.Sweet Apple,31.Sweet Apple,31.Sweet Apple,31.Sweet Apple,31.Sweet Apple,31.Sweet Apple,31.Sweet Apple,31.Sweet Apple,31.Sweet Apple,31.Sweet Apple,31.Sweet Apple,31.Sweet Apple,31.Sweet Apple,31.Sweet Apple,,
,,,,Finish_name31,"Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D",,
,,,,Share_name31,"Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D","Bad Apple is so hard, I hope with\rthis theme it should be easier :D",,
,,,,Disc_name32,32.Flower Theme,32.Flower Theme,32.Flower Theme,32.Flower Theme,32.Flower Theme,32.Flower Theme,32.Flower Theme,32.Flower Theme,32.Flower Theme,32.Flower Theme,32.Flower Theme,32.Flower Theme,32.Flower Theme,32.Flower Theme,32.Flower Theme,,
,,,,Finish_name32,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,,
,,,,Share_name32,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,Many flowers... I love the power of spring,,
,,,,Disc_name33,33.Meme Theme,33.Meme Theme,33.Meme Theme,33.Meme Theme,33.Meme Theme,33.Meme Theme,33.Meme Theme,33.Meme Theme,33.Meme Theme,33.Meme Theme,33.Meme Theme,33.Meme Theme,33.Meme Theme,33.Meme Theme,33.Meme Theme,,
,,,,Finish_name33,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,,
,,,,Share_name33,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,Muahahah ultra funny theme m8,,
,,,,Disc_name34,34.Bees Theme,34.Bees Theme,34.Bees Theme,34.Bees Theme,34.Bees Theme,34.Bees Theme,34.Bees Theme,34.Bees Theme,34.Bees Theme,34.Bees Theme,34.Bees Theme,34.Bees Theme,34.Bees Theme,34.Bees Theme,34.Bees Theme,,
,,,,Finish_name34,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,,
,,,,Share_name34,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,Bees like honey. Beepy likes bees...,,
,,,,Disc_name35,35.Underwater world,35.Underwater world,35.Underwater world,35.Underwater world,35.Underwater world,35.Underwater world,35.Underwater world,35.Underwater world,35.Underwater world,35.Underwater world,35.Underwater world,35.Underwater world,35.Underwater world,35.Underwater world,35.Underwater world,,
,,,,Finish_name35,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,,
,,,,Share_name35,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,Undiscovered world is really huge.\rNobody knows what is here.,,
,,,,Disc_name36,36.Hacker Theme,36.Hacker Theme,36.Hacker Theme,36.Hacker Theme,36.Hacker Theme,36.Hacker Theme,36.Hacker Theme,36.Hacker Theme,36.Hacker Theme,36.Hacker Theme,36.Hacker Theme,36.Hacker Theme,36.Hacker Theme,36.Hacker Theme,36.Hacker Theme,,
,,,,Finish_name36,"Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD",,
,,,,Share_name36,"Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD","Are you a hacker? So... don't hack\rthis game please, and use this theme xD",,
,,,,Disc_name37,37.Supernova,37.Supernova,37.Supernova,37.Supernova,37.Supernova,37.Supernova,37.Supernova,37.Supernova,37.Supernova,37.Supernova,37.Supernova,37.Supernova,37.Supernova,37.Supernova,37.Supernova,,
,,,,Finish_name37,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,,
,,,,Share_name37,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,Beautiful power of stars in our universe,,
,,,,Disc_name38,38.Future Theme,38.Future Theme,38.Future Theme,38.Future Theme,38.Future Theme,38.Future Theme,38.Future Theme,38.Future Theme,38.Future Theme,38.Future Theme,38.Future Theme,38.Future Theme,38.Future Theme,38.Future Theme,38.Future Theme,,
,,,,Finish_name38,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,,
,,,,Share_name38,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,It's our future in a few dozen years...,,
,,,,Disc_name39,39.Design Theme,39.Design Theme,39.Design Theme,39.Design Theme,39.Design Theme,39.Design Theme,39.Design Theme,39.Design Theme,39.Design Theme,39.Design Theme,39.Design Theme,39.Design Theme,39.Design Theme,39.Design Theme,39.Design Theme,,
,,,,Finish_name39,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,,
,,,,Share_name39,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,Modern design of many sites or graphics,,
,,,,Disc_name40,40.Prestigious Theme,40.Prestigious Theme,40.Prestigious Theme,40.Prestigious Theme,40.Prestigious Theme,40.Prestigious Theme,40.Prestigious Theme,40.Prestigious Theme,40.Prestigious Theme,40.Prestigious Theme,40.Prestigious Theme,40.Prestigious Theme,40.Prestigious Theme,40.Prestigious Theme,40.Prestigious Theme,,
,,,,Finish_name40,"Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!",,
,,,,Share_name40,"Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!","Are you ultra rich?! This precious\rtheme costed so many diamonds, LOL!",,
,,,,christmastree_dressup_button,装扮,裝扮,Decorate,Decoración,Украшения,Decorar,Schmücken,꾸미기,デコレーション,Décorer,Decora,تزويق,Süsleyin,Hiasan,,
,,,,christmastree_gold_lack1,哎呀，金币不足，弹奏歌曲得到星星皇冠奖励更多金币。\r活动时间：2018.1.9-2018.1.31,哎呀，金幣不足，彈奏歌曲得到星星皇冠獎勵更多金幣。\r活動時間：2018.1.9-2018.1.31,Oh. gold coins aren't enough. Playing songs to get the stars crown and more gold coins.\rTime: 2018.1.9-2018.1.31,Ah. faltan monedas. toca canciones para conseguir más monedas con tus estrellas y coronas.\rFecha: 2018.1.9-2018.1.31,Ой. монет не хватает. играйте в песни. набирайте звезды и короны. получайте монеты.\rВремя мероприятия:2018.1.9-2018.1.31,Epa! Não há moedas suficientes. Vá tocar as músicas até alcança estrelas ou coroas para ganhar mais moedas.\rDuração: 2018.1.9-2018.1.31,Ach. es fehlt Ihnen an Münzen. Nachdem man bis zu Sternen od. Kronen gespiel hat. kann man Münzen als Belohnung holen.\rAktivität: 2018.1.9-2018.1.31,아이구. 코인 부족합니다. 연주하여 별이나 크라운 달성하면 코인 더 많이 받을 수 있습니다.\r이벤트 시간: 2018.1.9-2018.1.31,コインが不足しています。演奏してコインをゲットしよう\rイベント期間：2018.1.9-2018.1.31,Oops. manque de pièces. Jouer les morceaux jusqu'aux étoiles et couronnes pour plus de pièces.\rPériode : 2018.1.9-2018.1.31,Oops. monete insufficienti. ricevi più monete quando riesci ad ottenere stelle o corone suonando le canzoni.\rData d'attività:2018.1.9-2018.1.31,آسف، تنقصك العملات الذهبية، لعب الأغاني للوصول إلى النجوم والتيجان للحصول على مزيد من العملات الذهبية في الفترة بين\rفترة الفعالية:2018.1.9-2018.1.31,Maalesef. altın yetmiyor. Lütfen daha fazla şarkılardan yıldız altın sikkesi ve ödüller alın.\rEtkinlik süresi:2018.1.9-2018.1.31,Aduh.koin tidak cukup.main lagu dapatkan hadiah bintang.mahkota dan lebih banayk koin.\rWaktu event:2018.1.9-2018.1.31,,
,,,,christmastree_gold_lack2,哎呀，金币不足，弹奏歌曲获取金币吧！,哎呀，金幣不足，彈奏歌曲獲取金幣吧！,Oops，lack of coins. Play songs to get more coins!,Ay. te faltan monedas. ¡toca canciones y consigue más!,Ой. монет не хватает. играйте песни и получайте монеты!,Epa! Não há moedas suficientes. Jogue as músicas para ganhar mais moedas!,Ach. es fehlt Ihnen an Münzen. Spielen Sie bitte Lieder. um Münzen zu holen!,아 . 금화 가 부족 한데. 연주 노래로 금화를 받아주십시오!,コインが不足しています。もっと曲を演奏してコインをゲットしよう！,Oops. manque de pièces. Jouer les morceaux pour en avoir plus !,Oops. monete insufficienti. suona le canzoni per ottenere più monete!,آسف، تنقصك العملة الذهبية، تعالى إلى لعب الأغاني للحصول على العملات الذهبية!,Maalesef. altın yetersiz. lütfen şarkı oynayıp fazla altın alın!,Aduh.koin tidak cukup.main lagu dapatkan koin saja!,,
,,,,christmastree_allunlocked_title,圣诞礼包,聖誕禮包,Christmas bonus,Paquete de la Navidad,Рождественский подарок,Pacote de presentes de Natal,Weihnachtsgeschenk,크리스마스 패키지,クリスマスパック,Bonus de Noël,Pacchetto regalo di Natale,حزمة الهدايا لعيد الميلاد,Noel Paketi,Paket Christmas,,
,,,,christmastree_allunlocked_content,解锁所有装饰！,解鎖所有裝飾！,Unlock all the decorations!,¡Desbloquear todas las decoraciones!,Разблокировка всех украшений!,Desbloquear todas decorações!,Alle Dekorationen freigeschaltet!,모든 장식물 언락하기!,すべてのデコレーションをアンロック！,Débloquer tous les ornements !,Sblocca tutte le decorazioni!,فتح جميع التزويقات,Tüm süslemeler kilidi açılmıştı!,Buka kunci semua hiasan,,
,,,,christmastree_allunlocked_button,购买,購買,Buy,Comprar,Купить,Comprar,Kaufen,구매하기,購入,Acheter,Acquista,شراء,Satın alın,Membeli,,
,,,,christmastree_share_content,圣诞快乐！,聖誕快樂！,Merry Christmas,Feliz Navidad,С Рождеством,Feliz Natal,Fröhliche Weihnachten,메리 크리스마스,メリークリスマス,Joyeux Noël,Buon Natale!,عيد ميلاد سعيدا,Mutlu Noeller,Selamat hari Natal,,
,,,,revive_secondtime,现在不要放弃，你就快得到奖励了,現在不要放棄，你就快得到獎勵了,Don’t give up now. you are close to get the rewards.,No te rindas ahora. estás a punto de conseguir las recompensas.,Не падайте духом. вы близки к наградам.,Não desista agora. você quase ganha as recompensas.,Geben Sie bitte nicht auf! Sie nähern sich den Belohnungen.,포기하지 마세요! 곧 보상을 얻겠습니다!,あきらめないで、もう少しで報酬をゲットできる！,N'y renoncez pas maintenant.Vous gagnerez bientôt vos prix.,Non arrenderti ora. per poco puoi ottenere i premi.,لا تستسلم الآن، كنت على مقربة من الحصول على المكافآت,Lütfen vazgeçmeyin. ödülleri almaya çok yakınız.,Jangan menyerah.seidikit lagi bisa dapatkan hadiah.,,
,,,,album_newyear2018,"Beepy's transcriptions","Beepy's transcriptions","Beepy's transcriptions","Beepy's transcriptions","Beepy's transcriptions","Beepy's transcriptions","Beepy's transcriptions","Beepy's transcriptions","Beepy's transcriptions","Beepy's transcriptions","Beepy's transcriptions","Beepy's transcriptions","Beepy's transcriptions","Beepy's transcriptions",,
,,,,album_newyear2018_subtitle,All custom songs transcribed by Beepy,All custom songs transcribed by Beepy,All custom songs transcribed by Beepy,All custom songs transcribed by Beepy,All custom songs transcribed by Beepy,All custom songs transcribed by Beepy,All custom songs transcribed by Beepy,All custom songs transcribed by Beepy,All custom songs transcribed by Beepy,All custom songs transcribed by Beepy,All custom songs transcribed by Beepy,All custom songs transcribed by Beepy,All custom songs transcribed by Beepy,All custom songs transcribed by Beepy,,
,,,,button_ok,好的,好的,OK,Sí,Ок,Ok,Ok,네. 좋아요,はい,OK,Bello,حسنا,Tamam,Ok,,
,,,,christmastree_unlocked_trip,每项饰品长按可以更换样式，解锁所有样式可获得100%进度哦！,每項飾品長按可以更換樣式，解鎖所有樣式可獲得100%進度哦！,Long-click on each decoration to change the style. Unlock all the styles to get it done by 100%.,Cambiar estilo de decoración con pulsación larga. ¡Progreso 100% al tener todos!,Каждое украшение можно менять с помощью долгого нажатия. разблокируйте все украшения и получите продвижение на 100%!,Pressione e mantenha pressionado cada item para alterar o item noutros estilos. Pode conseguir 100% do progresso quando desbloquea todos estilos!,Beim Tippen und Halten kann man die Form des Schmucks wählen. Nachdem man alle Formen freigeschaltet hat. kann man 100% Geschwindigkeit bekommen.,모든 장식물이 길게 누르면 양식을 바꿀 수 있습니다. 모든 양식 다 언락되면 100%진도를 얻을 수 있습니다!,各飾物を長押しすれば、スタイルを変更でき、全てをアンロックすれば、ミッション100%達成！,Appuyer sur chaque ornement pour changer de son style. Débloquer tous les styles pour finir à 100% !,Puoi cambiare lo stile di ogni decorazione premendo a lungo.  sblocca tutti gli stili per ottenere il 100% di progresso!,سيتم تغيير أنواع التزويق بعد ضغط لمدة طويلة، فتح جميع الأنواع للحصول على تقدم مائة بالمائة,Her aksesuara uzun basıp stilini değiştirebilirsiniz. tüm stilleri kilidini açarsan %100 İlerleme çubuğu alacaksın!,Pencet lama aksesoris bisa mengubah pola.buka kunci semua pola bisa selesaikan 100% progress bar！,,
